clinical_drug_form	ingredient
DRON:00020669	CHEBI:31162
DRON:00020670	CHEBI:53766
DRON:00020671	CHEBI:46195
DRON:00020672	CHEBI:46195
DRON:00020673	CHEBI:46195
DRON:00020674	CHEBI:16714
DRON:00020674	CHEBI:46195
DRON:00020675	CHEBI:16714
DRON:00020675	CHEBI:46195
DRON:00020676	CHEBI:16714
DRON:00020676	CHEBI:46195
DRON:00020677	CHEBI:16714
DRON:00020677	CHEBI:46195
DRON:00020678	CHEBI:16714
DRON:00020678	CHEBI:46195
DRON:00020679	CHEBI:4470
DRON:00020679	CHEBI:46195
DRON:00020680	CHEBI:4470
DRON:00020680	CHEBI:46195
DRON:00020681	CHEBI:4470
DRON:00020681	CHEBI:46195
DRON:00020682	CHEBI:46195
DRON:00020682	CHEBI:5779
DRON:00020683	CHEBI:46195
DRON:00020683	DRON:00017590
DRON:00020684	CHEBI:27732
DRON:00020684	CHEBI:46195
DRON:00020685	CHEBI:3619
DRON:00020685	CHEBI:46195
DRON:00020686	CHEBI:135276
DRON:00020686	CHEBI:46195
DRON:00020687	CHEBI:46195
DRON:00020687	CHEBI:59033
DRON:00020688	CHEBI:46195
DRON:00020688	CHEBI:59033
DRON:00020689	CHEBI:107736
DRON:00020689	CHEBI:46195
DRON:00020690	CHEBI:46195
DRON:00020690	CHEBI:8069
DRON:00020691	CHEBI:32114
DRON:00020691	CHEBI:46195
DRON:00020692	CHEBI:32114
DRON:00020692	CHEBI:46195
DRON:00020693	CHEBI:15366
DRON:00020693	DRON:00018280
DRON:00020694	CHEBI:2401
DRON:00020695	CHEBI:57589
DRON:00020696	CHEBI:22198
DRON:00020697	CHEBI:51209
DRON:00020697	CHEBI:83168
DRON:00020698	CHEBI:83168
DRON:00020699	CHEBI:83168
DRON:00020700	CHEBI:2453
DRON:00020701	CHEBI:2453
DRON:00020702	CHEBI:33442
DRON:00020703	CHEBI:15422
DRON:00020704	CHEBI:16449
DRON:00020705	CHEBI:16664
DRON:00020706	CHEBI:16664
DRON:00020707	CHEBI:2549
DRON:00020708	CHEBI:2549
DRON:00020709	CHEBI:2549
DRON:00020709	CHEBI:3001
DRON:00020710	CHEBI:55313
DRON:00020711	CHEBI:31186
DRON:00020712	CHEBI:31186
DRON:00020713	DRON:00018295
DRON:00020714	CHEBI:51141
