rxcui	drugbank
10168	DB13693
10169	DB00634
10171	DB00359
10172	DB06150
10173	DB01299
10175	DB00664
10176	DB01581
10177	DB06821
10178	DB01582
10179	DB00576
10180	DB01015
10181	DB13773
10184	DB00259
10187	DB06729
10188	DB00891
10193	DB06147
10205	DB01138
10207	DB00263
10223	DB09353
10231	DB11309
10237	DB00605
10239	DB00391
10240	DB08329
10255	DB00870
10256	DB04786
10288	DB09203
10297	DB19379
10318	DB00382
10323	DB09511
10324	DB00675
10328	DB09372
10337	DB01956
10339	DB04348
10347	DB09447
10355	DB00231
10362	DB00444
10368	DB00871
10378	DB00894
10379	DB00624
10382	DB01420
10390	DB04844
10391	DB09085
10395	DB00759
10398	DB17045
10402	DB00470
10411	DB12484
10417	DB16561
10425	DB05232
10432	DB01041
10437	DB01412
10438	DB00277
10450	DB00730
10451	DB12829
10454	DB00152
10459	DB01987
10463	DB08621
10464	DB01154
10471	DB00372
10472	DB11590
10473	DB04572
10485	DB00352
10493	DB00599
10498	DB01622
10502	DB00679
10510	DB01623
10517	DB13245
10524	DB00156
10528	DB11300
10535	DB06534
10553	DB02513
10561	DB09205
10565	DB01584
10579	DB15263
10580	DB09421
10582	DB00451
10588	DB13025
10591	DB01607
10594	DB00208
10595	DB04831
10597	DB13787
10600	DB00373
10612	DB00911
10627	DB00684
10633	DB00839
10634	DB00797
10635	DB01124
10636	DB00500
10637	DB00525
10639	DB06264
10689	DB00193
10691	DB00302
10700	DB00752
10734	DB00752
10737	DB00656
10753	DB00755
10754	DB13692
10756	DB16005
10759	DB00620
10763	DB00384
10767	DB00897
10772	DB01021
10795	DB08604
10796	DB00387
10798	DB06824
10800	DB00831
10803	DB00432
10805	DB00508
10811	DB00376
10814	DB00279
10819	DB09089
10824	DB01214
10825	DB01246
10826	DB09069
10827	DB00347
10828	DB01116
10829	DB00440
10834	DB00726
10844	DB04571
10847	DB00792
10849	DB00427
10850	DB17689
10864	DB13179
10865	DB03754
10869	DB00809
10890	DB11237
10897	DB08653
10898	DB00150
10917	DB01199
10938	DB11120
10941	DB11063
10953	DB14022
10958	DB08841
10961	DB16626
10962	DB00135
10968	DB13503
10989	DB11117
10995	DB03419
10996	DB00791
11002	DB03904
11017	DB02745
11032	DB04005
11055	DB00013
11065	DB01586
11075	DB14880
11115	DB00161
11118	DB00313
11121	DB13971
11124	DB00512
11149	DB00067
11170	DB00661
11194	DB00194
11196	DB09185
11198	DB00570
11201	DB13374
11202	DB00541
11204	DB00309
11209	DB06827
11246	DB00162
11248	DB00115
11248	DB14098
11253	DB11094
11256	DB00163
11258	DB01022
11289	DB00682
11295	DB09145
11313	DB00011
11359	DB00137
11363	DB13453
11371	DB13803
11377	DB11195
11378	DB09419
11413	DB00495
11414	DB04832
11416	DB01593
11422	DB15720
11423	DB09321
11454	DB14963
11473	DB00282
11474	DB08992
11476	DB01133
11516	DB06410
11636	DB01395
11645	DB08826
11675	DB06272
11840	DB01520
11850	DB01549
11892	DB12110
12056	DB09010
12062	DB01436
12166	DB11220
12186	DB11331
12204	DB01506
12212	DB01539
12247	DB13674
12440	DB05107
12449	DB08964
12488	DB06789
12524	DB01450
12557	DB01434
12574	DB00441
12662	DB12901
12663	DB06683
12715	DB12449
12944	DB01484
12945	DB01467
12946	DB01465
13016	DB11688
13061	DB12150
13088	DB14855
13133	DB08398
13263	DB02606
13369	DB09496
13492	DB03353
13532	DB15429
13544	DB02342
13714	DB11115
13982	DB03604
14077	DB01566
14159	DB13723
14165	DB12111
14448	DB06704
14509	DB01571
14584	DB00294
14666	DB01485
14699	DB14079
14712	DB06554
14845	DB00964
14851	DB01080
14964	DB00695
14982	DB13154
15070	DB08905
15080	DB09516
15121	DB13768
15190	DB01472
15202	DB00278
15226	DB01213
15381	DB01478
15405	DB17299
15467	DB12947
15497	DB12769
15534	DB00116
15656	DB01456
15657	DB01262
15694	DB12921
15747	DB12957
15802	DB12298
15842	DB12216
15980	DB11620
15996	DB00370
16054	DB11336
16193	DB12475
16427	DB13046
16521	DB13868
16608	DB11491
16668	DB14291
16681	DB00284
16689	DB06736
16695	DB13783
16717	DB13268
16728	DB00551
16735	DB01063
16738	DB11696
16742	DB12618
16782	DB00511
16817	DB09055
