curie	ndc	branded_drug
DRON:00092011	64579022401	DRON:00069366
DRON:00092012	64579022420	DRON:00069366
DRON:00092013	00078017605	DRON:00069371
DRON:00092014	00078017615	DRON:00069371
DRON:00092015	00247153630	DRON:00069371
DRON:00092016	13411011101	DRON:00069371
DRON:00092017	13411011103	DRON:00069371
DRON:00092018	13411011106	DRON:00069371
DRON:00092019	13411011109	DRON:00069371
DRON:00092020	13411011110	DRON:00069371
DRON:00092021	54569382100	DRON:00069371
DRON:00092022	54569382101	DRON:00069371
DRON:00092023	54868332900	DRON:00069371
DRON:00092024	54868332901	DRON:00069371
DRON:00092025	55289074060	DRON:00069371
DRON:00092026	57866659801	DRON:00069371
DRON:00092027	60491035530	DRON:00069371
DRON:00092028	60491035534	DRON:00069371
DRON:00092029	66105014710	DRON:00069371
DRON:00092030	66267053010	DRON:00069371
DRON:00092031	66267053020	DRON:00069371
DRON:00092032	66267053030	DRON:00069371
DRON:00092033	66267053040	DRON:00069371
DRON:00092034	66267053060	DRON:00069371
DRON:00092035	00078023405	DRON:00069372
DRON:00092036	00078023415	DRON:00069372
DRON:00092037	54569476100	DRON:00069372
DRON:00092038	54569476101	DRON:00069372
DRON:00092039	55289047630	DRON:00069372
DRON:00092040	57866659901	DRON:00069372
DRON:00092041	60491035630	DRON:00069372
DRON:00092042	60491035634	DRON:00069372
DRON:00092043	66267023310	DRON:00069372
DRON:00092044	66267023320	DRON:00069372
DRON:00092045	66267023330	DRON:00069372
DRON:00092046	66267023340	DRON:00069372
DRON:00092047	66267023360	DRON:00069372
DRON:00092064	00065065601	DRON:00069378
DRON:00092065	00065065605	DRON:00069378
DRON:00092066	00065065610	DRON:00069378
DRON:00092067	00065065611	DRON:00069378
DRON:00092068	00065065625	DRON:00069378
DRON:00092069	00247048605	DRON:00069378
DRON:00092070	00247048647	DRON:00069378
DRON:00092071	52959001300	DRON:00069378
DRON:00092072	54569329600	DRON:00069378
DRON:00092073	54569410300	DRON:00069378
DRON:00092074	54868278200	DRON:00069378
DRON:00092075	54868278201	DRON:00069378
DRON:00092076	55045203605	DRON:00069378
DRON:00092077	58016628501	DRON:00069378
DRON:00092078	68115060005	DRON:00069378
DRON:00092133	00009370101	DRON:00069382
DRON:00092134	00009370108	DRON:00069382
DRON:00092135	00009765002	DRON:00069382
DRON:00092136	00009765402	DRON:00069382
DRON:00092137	59267518101	DRON:00069382
DRON:00092138	59632518101	DRON:00069382
DRON:00092214	00068003701	DRON:00069394
DRON:00092215	54092007401	DRON:00069398
DRON:00092216	54092007405	DRON:00069398
DRON:00092217	54092007452	DRON:00069398
DRON:00092218	54902007401	DRON:00069398
DRON:00092219	54902007405	DRON:00069398
DRON:00092220	54902007452	DRON:00069398
DRON:00092221	00088501000	DRON:00069401
DRON:00092222	00108501220	DRON:00069401
DRON:00092223	00135014802	DRON:00069401
DRON:00092224	00108502618	DRON:00069402
DRON:00092225	00108502621	DRON:00069402
DRON:00092226	00108502625	DRON:00069402
DRON:00092227	00108502638	DRON:00069402
DRON:00092228	00179110801	DRON:00069402
DRON:00092229	00179110812	DRON:00069402
DRON:00092230	00247044104	DRON:00069402
DRON:00092231	00247044120	DRON:00069402
DRON:00092232	00247044130	DRON:00069402
DRON:00092233	00247044152	DRON:00069402
DRON:00092234	00247044160	DRON:00069402
