clinical_drug	ingredient	strength	unit
DRON:00035192	CHEBI:27470	0.5	UO:0000022
DRON:00035192	DRON:00017083	100.0	UO:0000022
DRON:00035193	CHEBI:26948	50.0	UO:0000022
DRON:00035194	CHEBI:26948	300.0	UO:0000022
DRON:00035195	CHEBI:28940	0.005	UO:0000022
DRON:00035195	CHEBI:3311	1250.0	UO:0000022
DRON:00035215	CHEBI:63631	50.0	UO:0000022
DRON:00035217	CHEBI:5118	60.0	UO:0000022
DRON:00035219	CHEBI:32168	400.0	UO:0000022
DRON:00035220	CHEBI:31159	100.0	UO:0000022
DRON:00035221	CHEBI:16811	100.0	UO:0000022
DRON:00035221	CHEBI:46195	500.0	UO:0000022
DRON:00035226	CHEBI:6741	15.0	UO:0000022
DRON:00035227	CHEBI:9453	30.0	UO:0000022
DRON:00035228	CHEBI:28940	0.01	UO:0000022
DRON:00035228	CHEBI:3311	1250.0	UO:0000022
DRON:00035232	CHEBI:135276	30.0	UO:0000022
DRON:00035232	CHEBI:46195	250.0	UO:0000022
DRON:00035234	CHEBI:9122	4.0	UO:0000022
DRON:00035235	CHEBI:9122	12.0	UO:0000022
DRON:00035236	CHEBI:9122	16.0	UO:0000022
DRON:00035237	CHEBI:9122	20.0	UO:0000022
DRON:00035238	CHEBI:32315	3.75	UO:0000022
DRON:00035239	CHEBI:2904	50.0	UO:0000022
DRON:00035239	CHEBI:3654	12.5	UO:0000022
DRON:00035240	CHEBI:4532	120.0	UO:0000022
DRON:00035242	CHEBI:4974	750.0	UO:0000022
DRON:00035245	CHEBI:32243	200.0	UO:0000022
DRON:00035247	CHEBI:9927	40.0	UO:0000022
DRON:00035251	CHEBI:135720	6.0	UO:0000022
DRON:00035253	CHEBI:2948	10.0	UO:0000022
DRON:00035254	CHEBI:2904	25.0	UO:0000022
DRON:00035254	CHEBI:3013	1.25	UO:0000022
DRON:00035259	CHEBI:4653	200.0	UO:0000022
DRON:00035261	CHEBI:3286	1.0	UO:0000022
DRON:00035262	CHEBI:3286	2.0	UO:0000022
DRON:00035263	CHEBI:3286	4.0	UO:0000022
DRON:00035269	CHEBI:135342	4.0	UO:0000022
DRON:00035270	CHEBI:32243	200.0	UO:0000022
DRON:00035275	CHEBI:135930	10.0	UO:0000022
DRON:00035277	CHEBI:2549	4.0	UO:0000022
DRON:00035278	CHEBI:2549	8.0	UO:0000022
DRON:00035279	CHEBI:64045	50.0	UO:0000022
DRON:00035280	CHEBI:64045	200.0	UO:0000022
DRON:00035282	CHEBI:8871	6.0	UO:0000022
DRON:00035283	CHEBI:3347	4.0	UO:0000022
DRON:00035284	CHEBI:3347	8.0	UO:0000022
DRON:00035285	CHEBI:31515	10.0	UO:0000022
DRON:00035285	CHEBI:46195	500.0	UO:0000022
DRON:00035286	CHEBI:5383	3.0	UO:0000022
DRON:00035288	CHEBI:135720	30.0	UO:0000022
DRON:00035289	CHEBI:518413	120.0	UO:0000022
DRON:00035290	CHEBI:31857	10.0	UO:0000022
DRON:00035292	CHEBI:27690	125.0	UO:0000022
DRON:00035293	CHEBI:27690	250.0	UO:0000022
DRON:00035295	CHEBI:28052	250.0	UO:0000022
DRON:00035296	CHEBI:28052	500.0	UO:0000022
DRON:00035297	CHEBI:27777	250.0	UO:0000022
DRON:00035298	CHEBI:2453	200.0	UO:0000022
DRON:00035299	CHEBI:2453	400.0	UO:0000022
DRON:00035301	CHEBI:2453	800.0	UO:0000022
DRON:00035302	CHEBI:2549	2.0	UO:0000022
DRON:00035303	CHEBI:2549	4.0	UO:0000022
DRON:00035304	CHEBI:40279	100.0	UO:0000022
DRON:00035305	CHEBI:40279	300.0	UO:0000022
DRON:00035306	CHEBI:2611	1.0	UO:0000022
DRON:00035307	CHEBI:2611	2.0	UO:0000022
DRON:00035308	CHEBI:24564	50.0	UO:0000022
DRON:00035312	CHEBI:16586	500.0	UO:0000022
DRON:00035313	CHEBI:2654	250.0	UO:0000022
DRON:00035315	CHEBI:2668	5.0	UO:0000022
DRON:00035317	CHEBI:2675	100.0	UO:0000022
DRON:00035318	CHEBI:2675	150.0	UO:0000022
DRON:00035319	CHEBI:2675	25.0	UO:0000022
DRON:00035320	CHEBI:2675	50.0	UO:0000022
DRON:00035323	CHEBI:133809	50.0	UO:0000022
DRON:00035327	CHEBI:15365	800.0	UO:0000022
DRON:00035328	CHEBI:2896	10.0	UO:0000022
DRON:00035329	CHEBI:2904	100.0	UO:0000022
DRON:00035330	CHEBI:2904	25.0	UO:0000022
DRON:00035331	CHEBI:2904	50.0	UO:0000022
DRON:00035332	CHEBI:2904	100.0	UO:0000022
DRON:00035332	CHEBI:3654	25.0	UO:0000022
DRON:00035333	CHEBI:2904	50.0	UO:0000022
DRON:00035333	CHEBI:3654	25.0	UO:0000022
DRON:00035334	CHEBI:575568	250.0	UO:0000022
DRON:00035335	CHEBI:2922	3.0	UO:0000022
DRON:00035336	CHEBI:2946	1.0	UO:0000022
DRON:00035337	CHEBI:2948	50.0	UO:0000022
DRON:00035338	CHEBI:2968	400.0	UO:0000022
DRON:00035339	CHEBI:2972	10.0	UO:0000022
DRON:00035340	CHEBI:2972	20.0	UO:0000022
DRON:00035341	CHEBI:3013	10.0	UO:0000022
DRON:00035342	CHEBI:3013	5.0	UO:0000022
DRON:00035344	CHEBI:3032	100.0	UO:0000022
DRON:00035345	CHEBI:3047	50.0	UO:0000022
DRON:00035346	CHEBI:17579	30.0	UO:0000022
DRON:00035352	CHEBI:3181	2.5	UO:0000022
DRON:00035353	CHEBI:3181	5.0	UO:0000022
DRON:00035354	CHEBI:3213	0.5	UO:0000022
DRON:00035355	CHEBI:3213	1.0	UO:0000022
DRON:00035356	CHEBI:3213	2.0	UO:0000022
DRON:00035357	CHEBI:28901	2.0	UO:0000022
DRON:00035358	CHEBI:102524	50.0	UO:0000022
DRON:00035358	CHEBI:46195	325.0	UO:0000022
DRON:00035359	CHEBI:102524	50.0	UO:0000022
DRON:00035359	CHEBI:46195	325.0	UO:0000022
DRON:00035360	CHEBI:102524	50.0	UO:0000022
DRON:00035360	CHEBI:46195	650.0	UO:0000022
DRON:00035361	CHEBI:102524	50.0	UO:0000022
DRON:00035361	CHEBI:46195	650.0	UO:0000022
DRON:00035362	CHEBI:102524	50.0	UO:0000022
DRON:00035362	CHEBI:15365	650.0	UO:0000022
DRON:00035364	CHEBI:17933	0.02	UO:0000022
DRON:00035365	CHEBI:17933	0.05	UO:0000022
DRON:00035366	CHEBI:3310	667.0	UO:0000022
DRON:00035368	CHEBI:3380	25.0	UO:0000022
DRON:00035368	CHEBI:5778	15.0	UO:0000022
DRON:00035369	CHEBI:3380	25.0	UO:0000022
DRON:00035369	CHEBI:5778	25.0	UO:0000022
DRON:00035370	CHEBI:3380	50.0	UO:0000022
DRON:00035370	CHEBI:5778	15.0	UO:0000022
DRON:00035371	CHEBI:3380	50.0	UO:0000022
DRON:00035371	CHEBI:5778	25.0	UO:0000022
DRON:00035372	CHEBI:3387	100.0	UO:0000022
DRON:00035373	CHEBI:3387	200.0	UO:0000022
DRON:00035374	CHEBI:15765	100.0	UO:0000022
DRON:00035374	CHEBI:3395	10.0	UO:0000022
DRON:00035375	CHEBI:15765	100.0	UO:0000022
DRON:00035375	CHEBI:3395	25.0	UO:0000022
DRON:00035376	CHEBI:15765	250.0	UO:0000022
DRON:00035376	CHEBI:3395	25.0	UO:0000022
DRON:00035377	CHEBI:3419	350.0	UO:0000022
DRON:00035378	CHEBI:15365	325.0	UO:0000022
DRON:00035378	CHEBI:3419	200.0	UO:0000022
DRON:00035379	CHEBI:16347	330.0	UO:0000022
DRON:00035380	CHEBI:3478	500.0	UO:0000022
DRON:00035381	CHEBI:472657	200.0	UO:0000022
DRON:00035382	CHEBI:472657	400.0	UO:0000022
DRON:00035383	CHEBI:3506	250.0	UO:0000022
DRON:00035384	CHEBI:3506	500.0	UO:0000022
DRON:00035385	CHEBI:3534	500.0	UO:0000022
DRON:00035386	CHEBI:3547	250.0	UO:0000022
DRON:00035387	CHEBI:3547	500.0	UO:0000022
DRON:00035389	CHEBI:48814	500.0	UO:0000022
DRON:00035392	CHEBI:28830	2.0	UO:0000022
DRON:00035393	CHEBI:17698	250.0	UO:0000022
DRON:00035394	CHEBI:59590	15.0	UO:0000022
DRON:00035395	CHEBI:59590	3.75	UO:0000022
DRON:00035396	CHEBI:59590	7.5	UO:0000022
